RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
53322209,20220720,F,30대,서울특별시,500이상700만원 미만,6,6,42,40,20,20,20,0
53322357,20220720,F,60대,서울특별시,300이상500만원 미만,5,4,33,50,10,10,30,0
53322407,20220720,F,40대,서울특별시,300이상500만원 미만,1,3,11,0,60,40,0,0
53322457,20220720,M,40대,서울특별시,700만원 이상,1,2,9,80,0,5,15,0
53322573,20220720,F,30대,서울특별시,300만원 미만,3,12,39,40,20,20,20,0
53322609,20220720,F,40대,서울특별시,500이상700만원 미만,1,10,25,40,5,5,50,0
53322633,20220720,M,60대,서울특별시,500이상700만원 미만,5,10,45,50,10,0,40,0
53322653,20220720,F,60대,서울특별시,300만원 미만,5,5,35,50,0,50,0,0
53322767,20220720,F,40대,서울특별시,500이상700만원 미만,2,8,26,80,10,0,10,0
53322813,20220720,M,20대,서울특별시,700만원 이상,3,12,39,40,20,10,30,0
53322843,20220720,F,40대,서울특별시,300이상500만원 미만,5,8,41,20,30,20,30,0
53322935,20220720,F,50대,서울특별시,300만원 미만,1,5,15,50,30,0,20,0
53323138,20220720,M,40대,서울특별시,300이상500만원 미만,3,5,25,50,10,10,10,20
53323196,20220720,M,50대,서울특별시,300만원 미만,2,15,40,10,20,0,70,0
53323236,20220720,F,60대,서울특별시,300이상500만원 미만,5,5,35,70,30,0,0,0
53323291,20220720,F,60대,서울특별시,300이상500만원 미만,1,5,15,0,0,0,50,50
53323348,20220720,F,60대,서울특별시,300만원 미만,6,18,66,65,5,10,10,10
53323494,20220720,F,30대,서울특별시,700만원 이상,1,9,23,80,5,0,15,0
53323778,20220720,M,20대,경기도,700만원 이상,3,5,25,30,10,10,50,0
53324064,20220720,F,30대,서울특별시,700만원 이상,3,8,31,30,10,30,30,0
53324490,20220720,F,30대,서울특별시,무응답,3,1,17,100,0,0,0,0
53324497,20220720,F,20대,서울특별시,300이상500만원 미만,2,5,20,60,10,0,30,0
53324811,20220720,F,40대,서울특별시,300이상500만원 미만,0,0,0,100,0,0,0,0
53324891,20220720,M,50대,서울특별시,300이상500만원 미만,5,7,39,50,30,20,0,0
53325033,20220720,M,20대,서울특별시,300이상500만원 미만,2,5,20,20,40,30,10,0
53325035,20220720,F,60대,서울특별시,300이상500만원 미만,1,2,9,20,10,50,10,10
53325068,20220720,M,20대,경기도,300이상500만원 미만,2,3,16,40,20,20,20,0
53325107,20220720,F,60대,서울특별시,300만원 미만,2,8,26,10,10,20,40,20
53325165,20220720,M,60대,서울특별시,300이상500만원 미만,4,6,32,30,10,20,40,0
53325328,20220720,F,40대,서울특별시,무응답,8,6,52,70,10,10,10,0
53325352,20220720,F,20대,서울특별시,300만원 미만,4,12,44,90,10,0,0,0
53325386,20220720,F,20대,서울특별시,700만원 이상,3,6,27,40,20,0,40,0
53325681,20220720,M,40대,울산광역시,300이상500만원 미만,2,4,18,20,10,20,50,0
53325691,20220720,M,60대,경기도,300만원 미만,2,3,16,30,20,30,20,0
53325698,20220720,M,50대,경기도,300이상500만원 미만,2,3,16,0,80,0,20,0
53325775,20220720,M,50대,대전광역시,700만원 이상,2,8,26,50,25,0,25,0
53325884,20220720,F,50대,경기도,300이상500만원 미만,1,2,9,50,0,30,20,0
53325962,20220720,M,50대,경기도,300이상500만원 미만,3,7,29,35,20,25,20,0
53325967,20220720,F,50대,충청남도,500이상700만원 미만,2,4,18,30,40,20,10,0
53325983,20220720,M,40대,서울특별시,무응답,2,5,20,20,20,20,40,0
53326146,20220720,M,30대,경상남도,300이상500만원 미만,1,1,7,70,30,0,0,0
53326174,20220720,M,30대,경기도,300이상500만원 미만,0,2,4,0,100,0,0,0
53326193,20220720,M,60대,경기도,700만원 이상,1,2,9,30,30,20,20,0
53326395,20220720,M,50대,경기도,300이상500만원 미만,12,15,90,30,50,0,20,0
53326409,20220720,M,40대,부산광역시,300만원 미만,3,12,39,50,0,0,50,0
53326457,20220720,M,30대,경기도,300만원 미만,3,10,35,70,10,10,10,0
53326459,20220720,F,30대,세종특별자치시,300만원 미만,3,8,31,50,20,10,20,0
53326463,20220720,M,20대,부산광역시,300이상500만원 미만,5,6,37,35,15,15,35,0
53326570,20220720,M,60대,광주광역시,300이상500만원 미만,5,10,45,40,10,0,20,30
53326762,20220720,M,20대,경상남도,300이상500만원 미만,4,6,32,50,10,10,30,0
53326800,20220720,M,60대,경기도,500이상700만원 미만,3,5,25,20,0,0,0,80
53326872,20220720,M,30대,강원도,300이상500만원 미만,5,8,41,60,0,0,40,0
53326937,20220720,F,50대,울산광역시,700만원 이상,4,1,22,5,30,50,15,0
53326963,20220720,F,30대,경기도,700만원 이상,1,4,13,20,50,20,10,0
53327043,20220720,F,30대,경기도,700만원 이상,3,1,17,50,20,10,20,0
53327211,20220720,M,20대,부산광역시,무응답,2,5,20,40,30,30,0,0
53327302,20220720,M,50대,경기도,700만원 이상,1,7,19,25,50,10,15,0
53327310,20220720,M,50대,세종특별자치시,500이상700만원 미만,2,5,20,50,10,10,30,0
53327321,20220720,F,50대,경기도,700만원 이상,3,5,25,30,30,25,15,0
53327404,20220720,F,60대,부산광역시,300만원 미만,1,3,11,20,20,30,30,0
53327412,20220720,F,20대,부산광역시,300이상500만원 미만,4,5,30,60,10,10,20,0
53327481,20220720,M,20대,전라남도,500이상700만원 미만,4,6,32,10,0,0,0,90
53327524,20220720,F,40대,부산광역시,300만원 미만,2,3,16,100,0,0,0,0
53327560,20220720,F,30대,경기도,300만원 미만,1,3,11,70,20,0,10,0
53327644,20220720,M,40대,울산광역시,300이상500만원 미만,1,5,15,10,10,5,5,70
53327697,20220720,F,30대,인천광역시,300이상500만원 미만,2,10,30,80,0,0,20,0
53327708,20220720,F,40대,경기도,500이상700만원 미만,2,3,16,40,20,20,20,0
53327865,20220720,F,50대,대구광역시,300이상500만원 미만,2,12,34,70,0,30,0,0
53327921,20220720,F,40대,대구광역시,300만원 미만,4,8,36,50,30,0,10,10
53328190,20220720,M,60대,경상남도,300만원 미만,1,2,9,0,15,0,35,50
53328203,20220720,F,60대,서울특별시,500이상700만원 미만,2,5,20,40,20,30,10,0
53328294,20220720,F,20대,서울특별시,300만원 미만,10,10,70,20,20,0,60,0
53328329,20220720,F,20대,경기도,300만원 미만,2,10,30,50,0,0,50,0
53328569,20220720,F,30대,강원도,300이상500만원 미만,5,12,49,60,0,20,20,0
53328576,20220720,F,50대,경상남도,300이상500만원 미만,5,2,29,70,10,10,10,0
53328667,20220720,M,60대,전라남도,300이상500만원 미만,3,5,25,20,10,20,50,0
53328684,20220720,F,50대,서울특별시,500이상700만원 미만,4,6,32,30,20,10,40,0
53329031,20220720,M,30대,서울특별시,300만원 미만,4,12,44,20,30,20,30,0
53329068,20220720,F,60대,충청남도,300이상500만원 미만,3,6,27,0,0,0,100,0
53329071,20220720,F,40대,서울특별시,300이상500만원 미만,0,3,6,70,10,10,10,0
53329255,20220720,F,30대,경기도,500이상700만원 미만,2,6,22,20,30,0,50,0
53329290,20220720,M,20대,부산광역시,300만원 미만,3,12,39,70,30,0,0,0
53329428,20220720,M,30대,경상북도,300이상500만원 미만,3,6,27,80,0,0,20,0
53329488,20220720,F,50대,경기도,700만원 이상,2,6,22,30,20,10,40,0
53329934,20220720,M,50대,경상북도,300이상500만원 미만,1,8,21,50,20,10,10,10
53329954,20220720,F,40대,경기도,500이상700만원 미만,1,4,13,70,0,20,10,0
53329993,20220720,M,60대,경상북도,300만원 미만,5,10,45,20,40,20,20,0
53330033,20220720,F,20대,서울특별시,무응답,4,6,32,50,15,5,30,0
53330038,20220720,F,40대,서울특별시,500이상700만원 미만,1,1,7,80,0,0,20,0
53330112,20220720,F,60대,전라북도,300이상500만원 미만,3,3,21,20,10,30,40,0
53330430,20220720,M,30대,경기도,300만원 미만,3,3,21,40,30,10,20,0
53330532,20220720,F,60대,경기도,500이상700만원 미만,4,6,32,0,40,60,0,0
53330651,20220720,M,20대,경기도,무응답,3,6,27,60,40,0,0,0
