,RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
0,3013,20220105,F,50대,광주광역시,300이상500만원 미만,2,3,16,40,0,0,60,0
1,3183,20220105,M,60대,전라남도,300만원 미만,3,5,25,0,0,0,30,70
2,5989,20220105,F,30대,경기도,300이상500만원 미만,3,12,39,60,40,0,0,0
3,6742,20220105,M,50대,대전광역시,300만원 미만,3,3,21,0,0,25,65,10
4,9242,20220105,F,30대,경기도,500이상700만원 미만,3,12,39,50,0,20,30,0
5,10179,20220105,F,40대,인천광역시,300이상500만원 미만,10,1,52,50,0,0,50,0
6,13624,20220105,M,60대,울산광역시,300만원 미만,3,4,23,30,20,20,25,5
7,13866,20220105,F,40대,경기도,500이상700만원 미만,2,2,14,50,0,50,0,0
8,16329,20220105,M,40대,인천광역시,300만원 미만,5,7,39,30,10,30,10,20
9,24463,20220105,M,30대,인천광역시,300만원 미만,6,6,42,60,0,10,30,0
10,24899,20220105,M,50대,충청북도,300이상500만원 미만,0,0,0,0,100,0,0,0
11,27282,20220105,F,50대,서울특별시,700만원 이상,3,8,31,70,10,10,10,0
12,28296,20220105,M,40대,광주광역시,300만원 미만,4,10,40,80,0,0,20,0
13,35064,20220105,M,60대,인천광역시,300만원 미만,4,10,40,30,10,20,40,0
14,35471,20220105,M,50대,광주광역시,300이상500만원 미만,2,8,26,20,10,40,30,0
15,35495,20220105,M,60대,부산광역시,300이상500만원 미만,4,13,46,0,50,20,30,0
16,36832,20220105,F,50대,서울특별시,500이상700만원 미만,2,2,14,20,10,50,20,0
17,36939,20220105,F,60대,서울특별시,300이상500만원 미만,4,10,40,80,5,5,10,0
18,37037,20220105,F,50대,서울특별시,300만원 미만,5,5,35,40,10,10,10,30
19,37430,20220105,M,50대,경상북도,500이상700만원 미만,3,7,29,60,15,15,10,0
20,39201,20220105,F,40대,부산광역시,300만원 미만,3,10,35,70,0,10,20,0
21,42675,20220105,F,30대,대구광역시,700만원 이상,3,3,21,90,0,0,10,0
22,46626,20220105,M,40대,인천광역시,500이상700만원 미만,2,5,20,10,10,10,10,60
23,46902,20220105,M,60대,전라남도,500이상700만원 미만,4,5,30,20,0,30,50,0
24,46977,20220105,M,50대,경상남도,500이상700만원 미만,4,10,40,10,20,30,40,0
25,47123,20220105,M,30대,전라남도,700만원 이상,3,10,35,50,0,0,50,0
26,47493,20220105,F,40대,경기도,300이상500만원 미만,6,8,46,100,0,0,0,0
27,47516,20220105,M,50대,서울특별시,300이상500만원 미만,2,5,20,60,10,10,20,0
28,50183,20220105,M,60대,부산광역시,300이상500만원 미만,2,5,20,100,0,0,0,0
29,51578,20220105,M,30대,전라남도,500이상700만원 미만,0,0,0,80,0,0,20,0
30,52021,20220105,F,40대,경기도,700만원 이상,3,7,29,80,10,0,10,0
31,52846,20220105,F,40대,서울특별시,300만원 미만,6,4,38,30,20,30,20,0
32,53636,20220105,F,40대,경기도,300이상500만원 미만,5,10,45,60,0,10,30,0
33,57581,20220105,F,30대,부산광역시,500이상700만원 미만,4,14,48,90,0,0,10,0
34,62845,20220105,M,60대,전라남도,300이상500만원 미만,8,8,56,30,30,15,25,0
35,63114,20220105,M,50대,경상북도,500이상700만원 미만,2,4,18,30,40,0,30,0
36,63156,20220105,M,50대,광주광역시,700만원 이상,4,12,44,50,20,20,10,0
37,63931,20220105,F,40대,전라남도,500이상700만원 미만,3,5,25,30,10,0,60,0
38,64155,20220105,F,60대,서울특별시,300이상500만원 미만,3,4,23,50,0,0,50,0
39,67214,20220105,M,60대,대구광역시,700만원 이상,3,6,27,30,0,10,30,30
40,67441,20220105,M,60대,제주특별자치도,300만원 미만,5,5,35,80,5,10,5,0
41,67712,20220105,M,60대,강원도,300이상500만원 미만,4,5,30,40,30,20,10,0
42,71553,20220105,F,40대,인천광역시,300만원 미만,4,4,28,70,10,10,10,0
43,73320,20220105,M,50대,강원도,500이상700만원 미만,2,6,22,50,30,10,10,0
44,74092,20220105,M,30대,경기도,300이상500만원 미만,1,5,15,50,10,10,10,20
45,76168,20220105,M,60대,대전광역시,500이상700만원 미만,1,3,11,60,20,0,20,0
46,78256,20220105,F,40대,충청남도,300만원 미만,5,12,49,40,20,30,10,0
47,79520,20220105,M,60대,경상남도,300이상500만원 미만,2,5,20,25,20,50,5,0
48,79798,20220105,F,60대,경기도,300이상500만원 미만,2,4,18,20,50,30,0,0
49,80559,20220105,M,40대,인천광역시,700만원 이상,3,12,39,70,10,0,20,0
50,80637,20220105,M,40대,전라남도,500이상700만원 미만,1,8,21,80,0,0,20,0
51,82313,20220105,M,40대,서울특별시,500이상700만원 미만,3,1,17,80,10,5,5,0
52,87328,20220105,M,30대,충청남도,300만원 미만,3,12,39,30,20,20,30,0
53,87808,20220105,F,40대,인천광역시,500이상700만원 미만,0,2,4,0,0,0,100,0
54,89049,20220105,F,20대,경기도,무응답,4,12,44,93,2,0,5,0
